,Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,id_country
12,13,MONTERO (Call Me By Your Name),Lil Nas X,669454,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,audio_features,1SC5rEoYDGUK4NfG82494W,spotify:track:1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/tracks/1SC5rEoYDGUK4NfG82494W,https://api.spotify.com/v1/audio-analysis/1SC5rEoYDGUK4NfG82494W,137704,4,USA
13,14,Woman,Doja Cat,639556,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,audio_features,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/audio-analysis/6Uj1ctrBOjOas8xZXGqKk4,172627,4,USA
14,15,Happier Than Ever,Billie Eilish,614264,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,audio_features,4RVwu0g32PAqgUiJoXsdF8,spotify:track:4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/tracks/4RVwu0g32PAqgUiJoXsdF8,https://api.spotify.com/v1/audio-analysis/4RVwu0g32PAqgUiJoXsdF8,298899,3,USA
15,16,2055,Sleepy Hallow,587116,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo,0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,80.511,audio_features,4XvcHTUfIlWfyJTRG0aqlo,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/tracks/4XvcHTUfIlWfyJTRG0aqlo,https://api.spotify.com/v1/audio-analysis/4XvcHTUfIlWfyJTRG0aqlo,123987,4,USA
16,17,Bad Habits,Ed Sheeran,570890,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE,0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,126.026,audio_features,6PQ88X9TkUIAUIZJHW2upE,spotify:track:6PQ88X9TkUIAUIZJHW2upE,https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE,https://api.spotify.com/v1/audio-analysis/6PQ88X9TkUIAUIZJHW2upE,231041,4,USA
17,18,Girls Want Girls (with Lil Baby),Drake,570655,https://open.spotify.com/track/37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,86.975,audio_features,37Nqx7iavZpotJSDXZWbJ3,spotify:track:37Nqx7iavZpotJSDXZWbJ3,https://api.spotify.com/v1/tracks/37Nqx7iavZpotJSDXZWbJ3,https://api.spotify.com/v1/audio-analysis/37Nqx7iavZpotJSDXZWbJ3,221980,4,USA
18,19,Shivers,Ed Sheeran,566817,https://open.spotify.com/track/75MNhvTCCKsST3YqqUiU9r,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,audio_features,75MNhvTCCKsST3YqqUiU9r,spotify:track:75MNhvTCCKsST3YqqUiU9r,https://api.spotify.com/v1/tracks/75MNhvTCCKsST3YqqUiU9r,https://api.spotify.com/v1/audio-analysis/75MNhvTCCKsST3YqqUiU9r,207853,4,USA
19,20,traitor,Olivia Rodrigo,554829,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,audio_features,5CZ40GBx1sQ9agT82CLQCT,spotify:track:5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,https://api.spotify.com/v1/audio-analysis/5CZ40GBx1sQ9agT82CLQCT,229227,4,USA
20,21,Dark Red,Steve Lacy,517102,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk,0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,172.041,audio_features,37y7iDayfwm3WXn5BiAoRk,spotify:track:37y7iDayfwm3WXn5BiAoRk,https://api.spotify.com/v1/tracks/37y7iDayfwm3WXn5BiAoRk,https://api.spotify.com/v1/audio-analysis/37y7iDayfwm3WXn5BiAoRk,173104,4,USA
21,22,Pepas,Farruko,496867,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,audio_features,2B4GHvToeLTOBB4QLzW3Ni,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,https://api.spotify.com/v1/tracks/2B4GHvToeLTOBB4QLzW3Ni,https://api.spotify.com/v1/audio-analysis/2B4GHvToeLTOBB4QLzW3Ni,287120,4,USA
22,23,Jugaste y Sufrí,Eslabon Armado,494652,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4,0.39,0.499,7,-7.778,1,0.0381,0.632,0.000497,0.115,0.34,200.156,audio_features,3NqBxTOMCJ3zW9CIP51td4,spotify:track:3NqBxTOMCJ3zW9CIP51td4,https://api.spotify.com/v1/tracks/3NqBxTOMCJ3zW9CIP51td4,https://api.spotify.com/v1/audio-analysis/3NqBxTOMCJ3zW9CIP51td4,275194,1,USA
23,24,Beggin',Måneskin,493792,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,audio_features,3Wrjm47oTz2sjIgck11l5e,spotify:track:3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560,4,USA
24,25,Levitating (feat. DaBaby),Dua Lipa,490969,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,audio_features,5nujrmhLynf4yMoMtj8AQF,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/audio-analysis/5nujrmhLynf4yMoMtj8AQF,203064,4,USA
