"Position,""Track Name"",Artist,Streams,URL"
"52,""Peaches (feat. Daniel Caesar & Giveon)"",""Justin Bieber"",345142,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI"
"53,""Wildest Dreams (Taylor's Version)"",""Taylor Swift"",338730,https://open.spotify.com/track/1Ov37jtRQ2YNAe8HzfczkL"
"54,A-O-K,""Tai Verdes"",338079,https://open.spotify.com/track/1sx0XsWUusUoPstbvokZjP"
"55,""Save Your Tears (with Ariana Grande) (Remix)"",""The Weeknd"",335283,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy"
"56,""You Right"",""Doja Cat"",325116,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez"
"57,""Miss The Rage (feat. Playboi Carti)"",""Trippie Redd"",324567,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ"
"58,""favorite crime"",""Olivia Rodrigo"",316980,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8"
"59,""Off The Grid"",""Kanye West"",313040,https://open.spotify.com/track/6LNoArVBBVZzUTUiAX2aKO"
"60,YKWIM?,""Yot Club"",310897,https://open.spotify.com/track/2vWBUC9djv6BtiGlmKiQaH"
"61,""Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)"",Tainy,310652,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB"
"62,Yonaguni,""Bad Bunny"",309560,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS"
"63,""LOT OF ME"",""Lil Tecca"",305529,https://open.spotify.com/track/2ZXxRC6V6AXzMdbLQZMHSB"
"64,""Tell Em"",Cochise,304426,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8"
"65,""Take My Breath"",""The Weeknd"",304070,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u"
"66,Bored,""Billie Eilish"",300039,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ"
"67,""Sunflower - Spider-Man: Into the Spider-Verse"",""Post Malone"",299991,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY"
"68,""Heartbreak Anniversary"",Giveon,299631,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp"
"69,""Leave Before You Love Me (with Jonas Brothers)"",Marshmello,299627,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1"
"70,""She Knows (feat. Amber Coffman & Cults)"",""J. Cole"",296226,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW"
"71,""my ex's best friend (with blackbear)"",""Machine Gun Kelly"",295298,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl"
"72,Circles,""Post Malone"",294988,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb"
"73,""Rich MF (feat. Polo G & Lil Durk)"",""Trippie Redd"",294956,https://open.spotify.com/track/6cUHiQEECDl5m3WFGQ1GCR"
"74,""Está Dañada"",""Ivan Cornejo"",294955,https://open.spotify.com/track/6G2xXQRSZlEzYsUEb3uvuR"
"75,""fue mejor (feat. SZA)"",""Kali Uchis"",293877,https://open.spotify.com/track/1CrPPsibP3uTc3DSI5vQC5"
"76,""Watermelon Sugar"",""Harry Styles"",293152,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY"
"77,""Leave The Door Open"",""Bruno Mars"",292790,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh"
"78,""Praise God"",""Kanye West"",291130,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T"
"79,""Good Days"",SZA,289503,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A"
"80,""20 Min"",""Lil Uzi Vert"",289485,https://open.spotify.com/track/0uxSUdBrJy9Un0EYoBowng"
"81,""Thot Shit"",""Megan Thee Stallion"",287174,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n"
"82,""Martin & Gina"",""Polo G"",286583,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ"
83,Pain,PinkPantheress,284084,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
84,MONEY,LISA,283121,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
"85,telepatía,""Kali Uchis"",282785,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B"
"86,""Mr. Brightside"",""The Killers"",282599,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B"
"87,Sky,""Playboi Carti"",282086,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ"
88,Loverboy,A-Wall,281016,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
"89,""All Girls Are The Same"",""Juice WRLD"",280839,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1"
"90,""t r a n s p a r e n t s o u l feat. Travis Barker"",WILLOW,280533,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV"
"91,""jealousy, jealousy"",""Olivia Rodrigo"",280326,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk"
"92,""Daddy Issues"",""The Neighbourhood"",277552,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5"
"93,""Space Song"",""Beach House"",277138,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow"
"94,""Lonely (with Lil Wayne)"",DaBaby,274973,https://open.spotify.com/track/6pmNoWKk0r6zfIjWneJRxR"
"95,happier,""Olivia Rodrigo"",273942,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl"
"96,""Am Sorry"",Asuking,272384,https://open.spotify.com/track/5B56PUgWWZjjkx2Sbqd3el"
"97,brutal,""Olivia Rodrigo"",271945,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC"
"98,""Happier Than Ever - Edit"",""Billie Eilish"",271579,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo"
"99,505,""Arctic Monkeys"",270683,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS"
"100,""Mood (feat. iann dior)"",24kGoldn,268083,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m"
101,Volví,Aventura,267060,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
"102,""we fell in love in october"",""girl in red"",266677,https://open.spotify.com/track/1BYZxKSf0aTxp8ZFoeyM3d"
"103,""Come & Go (with Marshmello)"",""Juice WRLD"",266061,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG"
"104,""Motley Crew"",""Post Malone"",265265,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed"
"105,""The Spins"",""Mac Miller"",264083,https://open.spotify.com/track/51pshtuYkgUQnt5huMPbKL"
"106,""SLOW DANCING IN THE DARK"",Joji,263707,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d"
"107,""Wait a Minute!"",WILLOW,263468,https://open.spotify.com/track/0y60itmpH0aPKsFiGxmtnh"
"108,""Lucid Dreams"",""Juice WRLD"",263119,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR"
"109,""Dreams - 2004 Remaster"",""Fleetwood Mac"",262622,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz"
"110,""Rumors (feat. Cardi B)"",Lizzo,257637,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s"
"111,""EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)"",""DJ Khaled"",255352,https://open.spotify.com/track/1EJIcDYXwSqipW5dFe4uJz"
"112,""Feelin' Like Tunechi"",""Lil Wayne"",254974,https://open.spotify.com/track/4HTY26kzdGCKJF1EqcRd2J"
"113,DÁKITI,""Bad Bunny"",254385,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49"
"114,""Electric Love"",BØRNS,253715,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ"
"115,Heather,""Conan Gray"",252894,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA"
"116,""XO Tour Llif3"",""Lil Uzi Vert"",252296,https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO"
"117,""Work Out"",""J. Cole"",250701,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO"
118,TSU,Drake,248852,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
"119,""love nwantiti (feat. Dj Yo! & AX'EL) - Remix"",CKay,248484,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU"
"120,""Die For You"",""The Weeknd"",248474,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3"
