,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"Blinding Lights","The Weeknd",2523160,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
55,"No Where","YoungBoy Never Broke Again",2517194,https://open.spotify.com/track/1lfYsrLHXzo3s7NpHb1fIS
56,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2490077,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
57,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",2428338,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
58,Yonaguni,"Bad Bunny",2389342,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
59,"Take My Breath","The Weeknd",2377489,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
60,TSU,Drake,2376006,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
61,"favorite crime","Olivia Rodrigo",2290810,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
62,"Lonely (with Lil Wayne)",DaBaby,2277823,https://open.spotify.com/track/6pmNoWKk0r6zfIjWneJRxR
63,"DOLLA SIGN SLIME (feat. Megan Thee Stallion)","Lil Nas X",2262269,https://open.spotify.com/track/7zQirOExB0VR8yWUOqYeio
64,"Thot Shit","Megan Thee Stallion",2250928,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
65,"Tell Em",Cochise,2243331,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
66,"You Right","Doja Cat",2225348,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
67,"Leave The Door Open","Bruno Mars",2215280,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
68,"my ex's best friend (with blackbear)","Machine Gun Kelly",2191594,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
69,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",2186003,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
70,"Heartbreak Anniversary",Giveon,2185001,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
71,Circles,"Post Malone",2169263,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
72,"Rich MF (feat. Polo G & Lil Durk)","Trippie Redd",2141645,https://open.spotify.com/track/6cUHiQEECDl5m3WFGQ1GCR
