title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
I WANNA BE YOUR SLAVE,Måneskin,4pt5fDVTg5GhEvEtlz9dKk,12352,dk,0.75,0.608,1.0,-4.008,1.0,0.0387,0.00165,0.0,0.178,0.958,132.507,173347.0,4.0
Don't Go Yet,Camila Cabello,1058fW9H3fZA6QjYCdOBad,12320,dk,0.666,0.796,10.0,-6.967,0.0,0.103,0.0492,0.0,0.0442,0.61,110.108,164842.0,4.0
Someone You Loved,Lewis Capaldi,7qEHsqek33rTcFNT9PFqLf,12255,dk,0.501,0.405,1.0,-5.679,1.0,0.0319,0.751,0.0,0.105,0.446,109.891,182161.0,4.0
Life Goes On,Oliver Tree,0eu4C55hL6x29mmeAjytzC,11785,dk,0.7,0.49,0.0,-5.187,1.0,0.076,0.186,0.0,0.117,0.569,79.982,161803.0,4.0
Perfect,Ed Sheeran,0tgVpDi06FyKpA1z0VMD4v,11591,dk,0.599,0.448,8.0,-6.312,1.0,0.0232,0.163,0.0,0.106,0.168,95.05,263400.0,3.0
Mine Venner Er Sindssyge,Malte Ebert,2oFI0kojKYLHaAV0lffebi,11461,dk,0.688,0.834,6.0,-5.307,1.0,0.0329,0.063,0.0,0.326,0.758,135.047,196735.0,4.0
Pepas,Farruko,2B4GHvToeLTOBB4QLzW3Ni,11407,dk,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,4.0
Kærlighed,Gilli,1HT4tiNLC1CnHcVTuDwD2P,11403,dk,0.777,0.593,5.0,-7.282,1.0,0.124,0.0509,0.0,0.113,0.57,84.037,191619.0,4.0
Kalder På Dig (feat. Rasmus Seebach),"Benny Jamz, Gilli, KESI, B.O.C",4pFlr2xeJO1wgwiUw6pkaJ,11282,dk,0.768,0.647,7.0,-6.656,1.0,0.219,0.25,0.0,0.629,0.475,94.397,170906.0,4.0
"Last One Standing (feat. Polo G, Mozzy & Eminem)",Skylar Grey,5W8HXMOMLtXLz0RGKUtnlZ,11271,dk,0.664,0.692,1.0,-4.128,0.0,0.127,0.237,0.0,0.0798,0.233,154.924,257369.0,4.0
Bored,Billie Eilish,04sN26COy28wTXYj3dMoiZ,11248,dk,0.614,0.318,7.0,-12.695,1.0,0.0478,0.896,0.00239,0.0795,0.112,119.959,180933.0,4.0
Cover Me In Sunshine,"P!nk, Willow Sage Hart",0UKUfxIkDAMZz7hMdiVX3m,11207,dk,0.473,0.592,5.0,-6.859,1.0,0.138,0.0528,0.0,0.131,0.292,159.7,138573.0,4.0
Remember (and David Guetta),Becky Hill,6feiJqgHqeSvkGUzf11AYs,11158,dk,0.626,0.864,8.0,-3.12,1.0,0.0378,0.0682,0.0,0.087,0.555,123.833,161387.0,4.0
Visiting Hours,Ed Sheeran,44V6EzbUSYgyfsNiP0FrlA,11127,dk,0.471,0.396,8.0,-6.654,1.0,0.0336,0.77,0.0,0.0729,0.263,149.609,215507.0,4.0
MONEY,LISA,7hU3IHwjX150XLoTVmjD0q,11106,dk,0.831,0.554,1.0,-9.998,0.0,0.218,0.161,6.12e-05,0.152,0.396,140.026,168228.0,4.0
Head & Heart (feat. MNEK),Joel Corry,6cx06DFPPHchuUAcTxznu9,11035,dk,0.734,0.874,8.0,-3.158,1.0,0.0662,0.168,1.14e-05,0.0489,0.905,122.953,166028.0,4.0
Knife Talk (with 21 Savage ft. Project Pat),Drake,2BcMwX1MPV6ZHP4tUT9uq6,11008,dk,0.849,0.424,5.0,-9.579,0.0,0.324,0.0635,0.0,0.0834,0.153,145.887,242966.0,4.0
Yellow,"NODE, Larry 44",0zAYRFtL4WbtrmLiNgqVQy,10819,dk,0.775,0.498,6.0,-6.804,0.0,0.166,0.291,0.0,0.0978,0.843,137.941,128902.0,4.0
LUFTKYS (BURHAN G X TESSA),Burhan G,2796Rbg9xaNZJ5GlyGGj7E,10733,dk,0.621,0.594,7.0,-7.578,1.0,0.291,0.101,0.0,0.112,0.289,177.106,155590.0,4.0
Call My Name,Lukas Graham,3RUi4rBDYospTGr92P7Xin,10687,dk,0.664,0.396,10.0,-7.237,1.0,0.0843,0.187,4.03e-05,0.11,0.36,166.058,201179.0,3.0
WITHOUT YOU,The Kid LAROI,27OeeYzk6klgBh83TSvGMA,10545,dk,0.662,0.413,0.0,-7.357,1.0,0.0299,0.213,0.0,0.134,0.467,93.005,161385.0,4.0
Vibes,"NODE, Gilli",696pTNllVLM7EK9wMIuYdJ,10539,dk,0.475,0.87,8.0,-4.054,1.0,0.33,0.206,0.0,0.352,0.811,86.719,171150.0,5.0
drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,10535,dk,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013.0,4.0
What A Life,Scarlet Pleasure,3VEvsFY82950YaqNz2vvyr,10485,dk,0.716,0.572,9.0,-5.095,0.0,0.0391,0.799,1.84e-06,0.0793,0.64,113.797,185942.0,4.0
Your Love (9PM),"ATB, Topic, A7S",5YaskwnGDZFDRipaqzbwQx,10436,dk,0.669,0.784,7.0,-5.603,1.0,0.112,0.194,6.28e-06,0.115,0.517,125.993,150053.0,4.0
Du Gør Det Godt (feat. Johnson & HEDEGAARD),Basim,1DlHOKshj1ITeV7GlI8ciV,10409,dk,0.797,0.7,0.0,-5.896,1.0,0.0435,0.271,0.0,0.0761,0.888,103.082,155251.0,4.0
that way,Tate McRae,7l97ElWmIdVHWUaOeeU5ZC,10196,dk,0.453,0.383,0.0,-11.015,1.0,0.163,0.728,0.0,0.387,0.333,105.029,175027.0,4.0
All My Love,Rocazino,49clGe0PtbYUx3vB7tyk3A,10106,dk,0.773,0.627,4.0,-6.037,0.0,0.0316,0.00614,3.13e-06,0.0963,0.666,129.464,214320.0,4.0
Before You Go,Lewis Capaldi,2gMXnyrvIjhVBUZwvLZDMP,10095,dk,0.459,0.575,3.0,-4.858,1.0,0.0573,0.604,0.0,0.0885,0.183,111.881,215107.0,4.0
Gonzo,Suspekt,0RcrxkcFT5FJpDgaXmzIEF,10035,dk,0.748,0.524,1.0,-9.48,1.0,0.265,0.0286,4.51e-05,0.154,0.305,99.975,172507.0,4.0
Love Tonight - David Guetta Remix Edit,Shouse,2prnn41CblB8B4yWACDljP,9993,dk,0.621,0.989,10.0,-4.225,0.0,0.0434,0.015,0.357,0.184,0.0348,126.002,158095.0,4.0
No Time To Die,Billie Eilish,73SpzrcaHk0RQPFP73vqVR,9889,dk,0.38,0.219,4.0,-13.273,0.0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,242265.0,4.0
45 Fahrenheit Girl,Drew Sycamore,7ztnJPMR5xqM0bBrCmz7eQ,9882,dk,0.672,0.758,4.0,-4.765,0.0,0.0289,0.004,7.08e-05,0.266,0.643,115.981,155500.0,4.0
traitor,Olivia Rodrigo,5CZ40GBx1sQ9agT82CLQCT,9861,dk,0.38,0.339,3.0,-7.885,1.0,0.0338,0.691,0.0,0.12,0.0849,100.607,229227.0,4.0
Leave Before You Love Me (with Jonas Brothers),Marshmello,4qu63nuBpdn0qHUHuObEj1,9775,dk,0.721,0.738,7.0,-4.77,1.0,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983.0,4.0
Save Your Tears,The Weeknd,5QO79kh1waicV47BqGRL3g,9765,dk,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,215627.0,4.0
Love Tonight - Edit,Shouse,6OufwUcCqo81guU2jAlDVP,9744,dk,0.727,0.681,5.0,-7.114,0.0,0.0265,0.00214,0.000307,0.0861,0.448,123.028,241970.0,4.0
Super Ligeglad - Superliga,Malte Ebert,3G2FcKLEosVH5tqJlE73pH,9735,dk,0.442,0.404,9.0,-8.78,0.0,0.0596,0.0452,0.0,0.673,0.313,129.045,221853.0,4.0
Bando Bitch,Branco,46EJP4xRtHEzOthuhDqo54,9716,dk,0.925,0.727,0.0,-5.955,1.0,0.115,0.0249,0.278,0.0924,0.669,119.981,130542.0,4.0
BIRTHDAY,"Branco, BackRoad Gee",5jYJmbHHXq3BVdNauBcPY0,9673,dk,0.911,0.736,10.0,-4.941,0.0,0.147,0.0503,0.0,0.284,0.735,109.989,130465.0,4.0
Acapulco,Jason Derulo,3eJH2nAjvNXdmPfBkALiPZ,9636,dk,0.774,0.792,10.0,-4.021,1.0,0.0523,0.051,0.0,0.155,0.507,122.062,139672.0,4.0
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",07MDkzWARZaLEdKxo6yArG,9556,dk,0.773,0.47,2.0,-7.93,1.0,0.0299,0.0153,0.000193,0.0851,0.399,94.995,162680.0,4.0
Alle Skuffer Over Tid - Single Edit,The Minds Of 99,6a2itcAnQzfViAiAly2Eg8,9528,dk,0.521,0.742,2.0,-4.931,1.0,0.0281,0.0134,0.0106,0.124,0.191,153.994,242654.0,4.0
A Way To Love Me Still,Malte Ebert,07niAmRIfqH37Cxqfi3yCX,9513,dk,0.269,0.36,3.0,-8.751,1.0,0.0316,0.747,1.96e-06,0.703,0.166,77.346,188827.0,4.0
Milkshake,L.O.C.,1N29cOyUzPMG0HVD0KI4q0,9464,dk,0.809,0.68,2.0,-6.219,1.0,0.301,0.0602,0.0,0.243,0.642,101.117,150801.0,4.0
Danser Med Diablo,Carmon,3Y7DrSY1cnn7AyTakPIzsW,9456,dk,0.873,0.824,5.0,-4.672,0.0,0.291,0.24,8.94e-06,0.176,0.603,137.048,165839.0,4.0
Bad Boy,Anders Matthesen,7bZED620EMqO3mFTG7yQnq,9407,dk,0.923,0.699,1.0,-6.548,1.0,0.33,0.0211,0.0,0.0726,0.483,110.052,176108.0,4.0
Obsessed With You,Central Cee,4PYfFHKfjYz6dwAtZhBy1z,9349,dk,0.769,0.809,3.0,-4.529,1.0,0.0554,0.377,0.0,0.238,0.886,143.074,108651.0,4.0
Run,OneRepublic,6KL88T4Ma4ABXqzgUoEwkd,9314,dk,0.682,0.72,11.0,-8.176,0.0,0.0382,0.321,0.0,0.205,0.649,116.988,168260.0,4.0
Say You Won't Let Go,James Arthur,5uCax9HTNlzGybIStD3vDh,9241,dk,0.358,0.557,10.0,-7.398,1.0,0.059,0.695,0.0,0.0902,0.494,85.043,211467.0,4.0
Be Alright,Dean Lewis,5qrSlOut2rNAWv3ubArkNy,9214,dk,0.551,0.537,11.0,-7.595,1.0,0.034,0.705,0.0,0.0802,0.493,126.421,196493.0,4.0
BED,"Joel Corry, RAYE, David Guetta",0siYMEsGrzzzlWLXK5zJfS,9189,dk,0.671,0.782,6.0,-4.593,1.0,0.0341,0.0142,0.00221,0.333,0.618,123.989,178088.0,4.0
Ramenez la coupe à la maison,Vegedream,1m0UFnuTktOkksvjbF9z0m,9154,dk,0.808,0.661,0.0,-6.237,0.0,0.0395,0.0358,0.0,0.138,0.804,107.992,235556.0,4.0
Nasty Sommer (KEWAN LIGGER BEATET NORMAL X Tessa X Clara),KEWAN LIGGER BEATET NORMAL,7AyICIFjiVr1YYeSPNLL4y,9128,dk,0.814,0.722,10.0,-6.067,0.0,0.148,0.172,0.0,0.133,0.81,113.001,172466.0,4.0
Lige Nu,Josef,4vvmQKBfywGuVG40QWVvlh,9102,dk,0.752,0.717,8.0,-3.608,1.0,0.0338,0.0631,0.0,0.182,0.8,109.997,151276.0,4.0
you broke me first,Tate McRae,45bE4HXI0AwGZXfZtMp8JR,9070,dk,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,169266.0,4.0
Fall So Hard,Christopher,3pHt7ZLOM4GJQKqorMzeon,8986,dk,0.572,0.797,0.0,-4.181,1.0,0.0497,0.0949,0.0,0.259,0.598,135.76,214720.0,4.0
Fly Away,Tones And I,2zBDKzqa6sdxeI0fC6OWIC,8983,dk,0.806,0.513,4.0,-6.208,1.0,0.0685,0.217,0.0,0.217,0.503,124.988,178157.0,4.0
BOYTOY,Ude Af Kontrol,5u0rw9MFwBZQRQkhUu7qSv,8975,dk,0.868,0.818,8.0,-6.182,1.0,0.249,0.0399,2.23e-06,0.0546,0.817,136.939,157664.0,4.0
Moon,Kanye West,7CC6UbCs4iGsePSzFxYxNn,8965,dk,0.319,0.236,5.0,-9.644,1.0,0.0318,0.898,1.62e-05,0.272,0.254,162.351,156091.0,4.0
Ingen Over,ICEKIID,0i0Hc3bNrhoLjBNFH7U92N,8914,dk,0.915,0.51,7.0,-6.69,1.0,0.116,0.28,0.0,0.28,0.913,106.036,168179.0,4.0
Wawa,"Benny Jamz, Gilli, KESI, B.O.C",5rexOvEwNWcOsa2OKPXpRC,8832,dk,0.726,0.605,11.0,-7.202,1.0,0.176,0.23,1.24e-05,0.286,0.756,129.989,211579.0,4.0
Live to Survive,MØ,3DnUQXJqtTsS17KLeZQSh9,8786,dk,0.649,0.863,3.0,-4.697,0.0,0.0424,0.00488,2.64e-05,0.0937,0.63,120.033,184667.0,4.0
Shape of You,Ed Sheeran,7qiZfU4dY1lWllzX7mPBI3,8748,dk,0.825,0.652,1.0,-3.183,0.0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,4.0
RAPSTAR,Polo G,18vXApRmJSgQ6wG2ll9AOg,8736,dk,0.789,0.536,6.0,-6.862,1.0,0.242,0.41,0.0,0.129,0.437,81.039,165926.0,4.0
Dior,Pop Smoke,79s5XnCN4TJKTVMSmOx8Ep,8607,dk,0.548,0.805,7.0,-5.732,1.0,0.351,0.212,0.000389,0.408,0.648,142.094,216387.0,4.0
Classic,MKTO,6FE2iI43OZnszFLuLtvvmg,8543,dk,0.72,0.791,1.0,-4.689,1.0,0.124,0.0384,0.0,0.157,0.756,102.071,175427.0,4.0
Ghost,Justin Bieber,6I3mqTwhRpn34SLVafSH7G,8534,dk,0.601,0.741,2.0,-5.569,1.0,0.0478,0.185,2.91e-05,0.415,0.441,153.96,153190.0,4.0
Dancing On My Own,Calum Scott,2BOqDYLOJBiMOXShCV1neZ,8506,dk,0.681,0.174,1.0,-8.745,1.0,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,260285.0,4.0
Happier Than Ever - Edit,Billie Eilish,32BeYxKPrig1LefHsC0Xuo,8498,dk,0.334,0.599,0.0,-5.742,1.0,0.0365,0.0468,0.000392,0.205,0.127,161.74,151444.0,3.0
Topkarakter,Mowgli,5zdw5INPY1wteKwRdtIbB9,8460,dk,0.696,0.793,4.0,-6.272,0.0,0.252,0.145,0.0,0.372,0.553,117.896,181287.0,4.0
Jesus,Tobias Rahim,41YkcLQn2NEuzhspZIRlbg,8459,dk,0.652,0.473,2.0,-7.273,1.0,0.0263,0.0548,0.0,0.0867,0.558,107.944,162515.0,4.0
Liv,Alex Vargas,3tVfzSGTywBaVgurlA6tDK,8425,dk,0.643,0.601,9.0,-7.681,0.0,0.0671,0.0312,0.0,0.752,0.545,130.059,189507.0,4.0
Boom Boom Boom,Emil Stabil,70uHBLlKXLzstSoz46uMA0,8406,dk,0.881,0.727,3.0,-4.348,0.0,0.0813,0.302,6.46e-05,0.06,0.881,128.117,123149.0,4.0
Til Banken (Natasja X Tessa X Karen Mukupa),Natasja,1MgTtTXj186W8H02cdOcb8,8381,dk,0.819,0.875,11.0,-5.133,0.0,0.148,0.196,0.0,0.113,0.962,89.997,184086.0,4.0
9MM,"Branco, Mastermind",73HMcBiaDNuEIzrFXX2qiQ,8322,dk,0.474,0.616,10.0,-4.572,1.0,0.431,0.162,0.0,0.325,0.394,63.173,169658.0,5.0
Kærlighedssangen,Jimilian,6WELXrF1hsdUZEcasR1DGG,8254,dk,0.478,0.686,10.0,-5.598,1.0,0.134,0.225,0.0,0.117,0.403,177.925,153708.0,4.0
POP (Himlen over København),Annika Aakjær,0ZpCyEzNGiJoq7Ljk5qAWb,8250,dk,0.687,0.665,1.0,-4.96,1.0,0.0759,0.136,0.000807,0.0561,0.541,187.859,204866.0,4.0
Somebody Else,Scarlet Pleasure,2OKRMBdHeTXAS3nWrgPw62,8232,dk,0.953,0.537,7.0,-4.343,0.0,0.0612,0.196,0.102,0.11,0.953,124.022,219711.0,4.0
Shallow,"Lady Gaga, Bradley Cooper",2VxeLyX666F8uXCJ0dZF8B,8211,dk,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,215733.0,4.0
Iko Iko (My Bestie),"Justin Wellington, Small Jam",7MC4XR9M9amdmKQr2iDF7i,8207,dk,0.862,0.753,5.0,-5.356,1.0,0.0625,0.131,2.01e-06,0.077,0.827,105.039,182857.0,4.0
Mood (feat. iann dior),24kGoldn,4jPy3l0RUwlUI9T5XHBW2m,8121,dk,0.701,0.716,7.0,-3.671,0.0,0.0361,0.174,0.0,0.324,0.732,91.007,140533.0,4.0
Don't Be Shy,"Tiësto, KAROL G",0bI7K9Becu2dtXK1Q3cZNB,8116,dk,0.77,0.787,11.0,-3.748,0.0,0.0583,0.198,0.0,0.262,0.513,119.986,140500.0,4.0
Nasty,KAMIL,0Ke3Z8dJJItYYe9NizCZdW,8106,dk,0.762,0.635,6.0,-9.476,1.0,0.27,0.303,0.0,0.171,0.128,103.044,184078.0,4.0
Let Her Go,Passenger,7DFNE7NO0raLIUbgzY2rzm,8050,dk,0.509,0.538,7.0,-7.335,1.0,0.0572,0.385,0.0,0.104,0.244,75.089,252867.0,4.0
Thinking out Loud,Ed Sheeran,1Slwb6dOYkBlWal1PGtnNg,8046,dk,0.781,0.445,2.0,-6.061,1.0,0.0295,0.474,0.0,0.184,0.591,78.998,281560.0,4.0
Bodyguard (feat. Branco),Gobs,6NJbRe9nIdNsAx7dkASEJX,7988,dk,0.591,0.608,9.0,-6.443,0.0,0.506,0.0707,0.0,0.113,0.599,63.24,137545.0,5.0
lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,7984,dk,0.351,0.296,4.0,-10.109,0.0,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,4.0
Paradise (feat. Dermot Kennedy),MEDUZA,6ft4hAq6yde8jPZY2i5zLr,7982,dk,0.632,0.595,8.0,-7.644,0.0,0.0401,0.0689,0.0,0.209,0.435,124.114,167903.0,4.0
London Town,"Branco, Gilli",5TKuvTO4jj4trnmMnqEpoJ,7976,dk,0.857,0.541,1.0,-7.272,0.0,0.283,0.419,1.36e-06,0.108,0.565,101.913,173934.0,4.0
Photograph,Ed Sheeran,6fxVffaTuwjgEk5h9QyRjy,7963,dk,0.614,0.379,4.0,-10.48,1.0,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987.0,4.0
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,3iw6V4LH7yPj1ESORX9RIN,7953,dk,0.722,0.893,0.0,-3.255,0.0,0.0475,0.0441,0.000937,0.0673,0.439,119.932,116750.0,4.0
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,5K6Ssv4Z3zRvxt0P6EKUAP,7904,dk,0.595,0.784,1.0,-4.878,1.0,0.102,0.216,0.0,0.0608,0.479,124.111,183726.0,4.0
Clash (feat. Stormzy),Dave,2zxEc1GCSCxbHIXTfhraRC,7730,dk,0.871,0.519,2.0,-6.549,1.0,0.258,0.313,8.14e-06,0.0869,0.532,140.013,251733.0,4.0
"Sender mig til månen (feat. Kidd, TopGunn, Klumben & ELOQ)",Cheff Records,0qUlNrJSXzvOvSCOqVwZdc,7702,dk,0.844,0.823,6.0,-5.079,1.0,0.0614,0.0383,0.0,0.335,0.836,126.03,147635.0,4.0
BAR VÆLG (feat. Isaac Kasule),Sandra Hussein,7gLg6tiKRcX9nubEGuBOoq,7691,dk,0.824,0.609,0.0,-7.572,1.0,0.0767,0.123,1.68e-06,0.149,0.419,105.036,176817.0,4.0
Love Again,Dua Lipa,4rPkN1FMzQyFNP9cLUGIIB,7682,dk,0.659,0.667,11.0,-4.668,0.0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,258004.0,4.0
Roses - Imanbek Remix,SAINt JHN,0zLCBJZSiELJf02ucPP9wb,7664,dk,0.769,0.719,8.0,-5.472,1.0,0.0474,0.0143,0.00777,0.359,0.863,121.955,176867.0,4.0
Beautiful Mistakes (feat. Megan Thee Stallion),Maroon 5,5zFglKYiknIxks8geR8rcL,7658,dk,0.713,0.676,10.0,-5.483,1.0,0.027,0.0377,0.0,0.154,0.721,99.048,227395.0,4.0
Wake Me Up,Avicii,0nrRP2bk19rLc0orkWPQk2,7636,dk,0.532,0.783,2.0,-5.697,1.0,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427.0,4.0
Giv Lys Igen,Aksglæde,5YomsvraXBiwwDA5tFR085,7628,dk,0.648,0.726,5.0,-5.679,0.0,0.0611,0.0658,5.7e-06,0.131,0.645,101.955,167933.0,4.0
The Nights,Avicii,0ct6r3EGTcMLPtrXHDvVjc,7625,dk,0.527,0.835,6.0,-5.298,1.0,0.0433,0.0166,0.0,0.249,0.654,125.983,176658.0,4.0
When We Were Young,Adele,6O5TrlFWTYvznd9fMC0VvU,7604,dk,0.372,0.566,3.0,-6.779,1.0,0.0519,0.322,0.0,0.0953,0.28,146.399,290900.0,4.0
No Role Modelz,J. Cole,62vpWI1CHwFy7tMIcSStl8,7570,dk,0.692,0.521,10.0,-8.465,0.0,0.33,0.301,0.0,0.0565,0.463,100.45,292987.0,4.0
Dance Monkey,Tones And I,2N8m6CYs74qQO4mjVcXO30,7552,dk,0.824,0.587,6.0,-6.401,0.0,0.0937,0.69,0.000105,0.149,0.514,98.029,209438.0,4.0
Dumb Love,Mimi Webb,2Ms8MDDtYBw7M3K5F3EqPX,7538,dk,0.569,0.422,0.0,-5.856,1.0,0.0302,0.0296,0.0,0.0613,0.175,76.96,207068.0,4.0
Mirror,"Lil Wayne, Bruno Mars",5hUYsaOyMY32yjRXeuQwGj,7528,dk,0.328,0.622,5.0,-7.291,0.0,0.0866,0.858,0.0,0.104,0.401,74.267,228093.0,4.0
Som Fluer,The Minds Of 99,4diMl3ee8zco6asVZNKjti,7527,dk,0.433,0.504,9.0,-5.717,0.0,0.029,0.162,0.00809,0.242,0.345,74.033,226573.0,4.0
Bruises,Lewis Capaldi,4Of7rzpRpV1mWRbhp5rAqG,7501,dk,0.736,0.308,4.0,-7.83,1.0,0.0677,0.946,0.0,0.186,0.361,111.202,220492.0,4.0
Good Without,Mimi Webb,15OCqNPYoLziEAsbVnqRj5,7469,dk,0.616,0.576,11.0,-5.495,0.0,0.0532,0.0723,0.0,0.375,0.269,89.962,182121.0,4.0
love nwantiti (feat. ElGrande Toto) - North African Remix,"CKay, ElGrandeToto",1EYeZGTMCjV7uVey5fNWXM,7450,dk,0.642,0.723,1.0,-6.149,1.0,0.243,0.58,0.000942,0.112,0.487,186.043,135480.0,4.0
Someone Like You,Adele,5lkpeJwmQKgY3bX2zChjxX,7447,dk,0.556,0.319,9.0,-8.251,1.0,0.0281,0.893,0.0,0.0996,0.294,135.187,285240.0,4.0
D R HVA D R (feat. Shooter Gang),DIBSET,6Rcc0NO1nVVqJ67EnvLReN,7441,dk,0.698,0.868,2.0,-5.626,1.0,0.151,0.0577,0.0,0.436,0.768,109.859,186011.0,4.0
Blæstegnen (feat. Orgi-E),Tessa,79mXVVl7EeTzWiVLsOQ4YB,7440,dk,0.87,0.643,1.0,-4.753,1.0,0.28,0.0909,0.0,0.181,0.418,102.983,196061.0,4.0
Another Love,Tom Odell,7jtQIBanIiJOMS6RyCx6jZ,7434,dk,0.442,0.538,4.0,-8.55,0.0,0.0451,0.717,2.95e-05,0.09,0.139,122.758,244360.0,4.0
'Till I Collapse,"Eminem, Nate Dogg",4xkOaSrkexMciUUogZKVTS,7434,dk,0.548,0.847,1.0,-3.237,1.0,0.186,0.0622,0.0,0.0816,0.1,171.447,297787.0,4.0
Ben,Tessa,2He7ZIvNyBo188a6hvS0zT,7423,dk,0.897,0.536,1.0,-5.612,0.0,0.308,0.398,0.0,0.338,0.71,92.984,176129.0,4.0
The Real Slim Shady,Eminem,3yfqSUWxFvZELEM4PmlwIR,7417,dk,0.949,0.661,5.0,-4.244,0.0,0.0572,0.0302,0.0,0.0454,0.76,104.504,284200.0,4.0
"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,7hxHWCCAIIxFLCzvDgnQHX,7341,dk,0.8,0.658,1.0,-6.142,0.0,0.079,0.25,0.0,0.111,0.462,140.042,195429.0,4.0
Bare Os Selv,Gobs,0dVRJtNVSpE2gDJ3EYAoCp,7341,dk,0.86,0.678,11.0,-5.477,0.0,0.123,0.116,0.0,0.101,0.635,125.065,131051.0,4.0
Watermelon Sugar,Harry Styles,6UelLqGlWMcVH1E5c4H7lY,7251,dk,0.548,0.816,0.0,-4.209,1.0,0.0465,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
Calabria (feat. Lujavo & Nito-Onna),"Strange Fruits Music, DMNDS, Fallen Roses",2K7r0SujVkBGOj0JaOAZvg,7249,dk,0.727,0.904,10.0,-3.408,0.0,0.064,0.0153,0.55,0.0963,0.372,124.02,128500.0,4.0
Martin & Gina,Polo G,1VLtjHwRWOVJiE5Py7JxoQ,7211,dk,0.832,0.534,1.0,-7.813,0.0,0.253,0.345,0.0,0.165,0.116,93.924,132833.0,4.0
Get Into It (Yuh),Doja Cat,0W6I02J9xcqK8MtSeosEXb,7206,dk,0.912,0.655,8.0,-6.029,0.0,0.162,0.315,3.39e-05,0.0894,0.793,91.942,138293.0,4.0
Sydpå,Bro,1lahfyqBPVvBIxf3XgmQmZ,7203,dk,0.807,0.716,10.0,-5.27,1.0,0.154,0.184,0.0,0.097,0.667,99.938,186627.0,4.0
Afterglow,Ed Sheeran,0E4Y1XIbs8GrAT1YqVy6dq,7199,dk,0.641,0.324,11.0,-5.851,1.0,0.0299,0.698,0.0,0.328,0.273,110.184,185487.0,4.0
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,4gzsuuZypVbxs0Af1LSZyB,31730,do,0.639,0.703,4.0,-6.33,0.0,0.0794,0.0889,1.78e-06,0.0865,0.138,169.888,207301.0,4.0
Volando - Remix,"Mora, Bad Bunny, Sech",0G2zPzWqVjR68iNPmx2TBe,15055,do,0.659,0.688,6.0,-4.649,1.0,0.0673,0.207,0.0,0.113,0.632,153.979,273474.0,4.0
Yonaguni,Bad Bunny,2JPLbjOn0wPCngEot2STUS,14588,do,0.644,0.648,1.0,-4.601,1.0,0.118,0.276,0.0,0.135,0.44,179.951,206710.0,4.0
Ley Seca,"Jhay Cortez, Anuel AA",3JCaq3KDSROg3TXhdiDa9n,13081,do,0.759,0.842,8.0,-3.758,1.0,0.096,0.101,0.0,0.134,0.584,105.059,263253.0,4.0
Volví,"Aventura, Bad Bunny",2vmfvSoZBFAt9hhRoEByLi,13013,do,0.725,0.86,1.0,-3.726,1.0,0.182,0.422,0.000284,0.0674,0.791,175.896,230125.0,4.0
Curazao,"El Alfa, Chael Produciendo, Farruko",2gMau9LsRZtWOrq5cBGywB,12366,do,0.854,0.943,11.0,-4.876,0.0,0.0846,0.11,1.41e-05,0.0528,0.53,129.256,239578.0,4.0
Pepas,Farruko,2B4GHvToeLTOBB4QLzW3Ni,11486,do,0.762,0.766,7.0,-3.955,1.0,0.0343,0.00776,6.98e-05,0.128,0.442,130.001,287120.0,4.0
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",05bfbizlM5AX6Mf1RRyMho,11078,do,0.743,0.655,6.0,-5.015,0.0,0.159,0.114,0.0,0.0764,0.785,172.031,261335.0,4.0
El Incomprendido,"Farruko, Victor Cardenas, Dj Adoni",2mL37yB3f3Lfy4iiXV02Qf,11056,do,0.754,0.841,11.0,-3.19,1.0,0.135,0.113,0.0,0.466,0.541,128.019,267547.0,4.0
