title,artist,songid,streams,region,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,4iJyoBOLtHqaGxP12qzhQI,1872521,global,0.677,0.696,0.0,-6.181,1.0,0.119,0.321,0.0,0.42,0.464,90.03,198082.0,4.0
Blinding Lights,The Weeknd,0VjIjW4GlUZAMYd2vXMi3b,1830817,global,0.514,0.73,1.0,-5.934,1.0,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
In Da Getto,"J Balvin, Skrillex",1q0PYXTbDsirp2l74ng6pn,1807243,global,0.924,0.723,8.0,-3.142,1.0,0.0466,0.0177,2.61e-05,0.113,0.643,126.998,130667.0,4.0
Take My Breath,The Weeknd,6M3PsepEj5gyJoIi7Xvr7u,1744450,global,0.747,0.739,8.0,-6.008,1.0,0.0487,0.0106,2.22e-05,0.101,0.523,120.996,220196.0,4.0
LALISA,LISA,7uQZVznj0uQOGC9KhV2Mg6,1675524,global,0.806,0.653,8.0,-6.283,1.0,0.0902,0.0282,0.000784,0.107,0.85,150.058,200690.0,4.0
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,37BZB0z9T8Xu7U3e65qxFy,1674217,global,0.65,0.825,0.0,-4.645,1.0,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,191014.0,4.0
drivers license,Olivia Rodrigo,5wANPM4fQCJwkGd4rN57mH,1666122,global,0.561,0.431,10.0,-8.81,1.0,0.0578,0.768,1.42e-05,0.106,0.137,143.875,242013.0,4.0
I WANNA BE YOUR SLAVE,Måneskin,4pt5fDVTg5GhEvEtlz9dKk,1645804,global,0.75,0.608,1.0,-4.008,1.0,0.0387,0.00165,0.0,0.178,0.958,132.507,173347.0,4.0
Where Are You Now,"Lost Frequencies, Calum Scott",3uUuGVFu1V7jTQL60S1r8z,1637812,global,0.671,0.636,6.0,-8.117,0.0,0.103,0.515,0.000411,0.172,0.262,120.966,148197.0,4.0
Qué Más Pues?,"J Balvin, Maria Becerra",6D2TCm4nf5nxAcdGJ7w3QP,1618654,global,0.903,0.817,8.0,-3.972,1.0,0.095,0.0272,0.000311,0.242,0.732,102.014,217360.0,4.0
