id,streams,danceability,energy,speechiness,time_signature,valence,duration_ms,region
32,71999.565,0.7197199999999999,0.6707,0.104687,3.965,0.6329645,209199.625,ar
36,53993.475,0.663035,0.64093,0.0969685,3.975,0.524915,209484.45,au
40,8566.81,0.705405,0.66717,0.11259499999999999,3.965,0.5129025,184695.785,at
56,13332.165,0.6676850000000001,0.6535,0.09293749999999999,3.965,0.5198415,199390.665,be
68,5321.675,0.72673,0.6750499999999999,0.1114405,3.925,0.6251645,209526.98,bo
76,210066.99,0.6778799999999999,0.7081399999999999,0.0943795,4.02,0.6532644999999999,192012.25,br
100,1688.3035714285713,0.7210089285714286,0.691232142857143,0.116575,3.982142857142857,0.5647348214285715,202748.91964285713,bg
124,51518.605,0.668695,0.6202799999999999,0.112835,3.96,0.480445,200981.55,ca
152,65720.115,0.74461,0.69695,0.121643,3.96,0.624327,215285.135,cl
158,11311.46,0.593825,0.56125,0.059868500000000005,3.97,0.421169,233337.26,tw
170,24823.055,0.7313200000000001,0.68274,0.11230499999999999,3.965,0.6314744999999999,212375.7,co
188,6660.99,0.71884,0.653865,0.10925000000000001,3.925,0.6057895,215708.685,cr
203,7750.245,0.682145,0.674375,0.097599,3.97,0.48725,195231.845,cz
208,15354.265,0.6878449999999999,0.637925,0.11351800000000001,3.99,0.5348485000000001,187267.615,dk
214,3810.85,0.74169,0.69612,0.128698,3.95,0.6131195,212026.8,do
218,10866.525,0.731135,0.670465,0.111597,3.94,0.6085945,211664.825,ec
222,4790.83,0.72417,0.675035,0.10949450000000001,3.93,0.6089245,218021.84,sv
233,1825.2857142857142,0.6859571428571429,0.6630714285714285,0.09154571428571429,3.942857142857143,0.5073528571428572,195498.1,ee
246,10736.355,0.657235,0.67203,0.0790055,3.955,0.498597,203961.23,fi
250,73454.34,0.7270749999999999,0.64031,0.146725,3.955,0.5408295,194207.87,fr
276,109394.785,0.71478,0.66023,0.127486,3.985,0.4929625,179502.045,de
